date,atm_id,location_type,day_of_week,is_weekend,withdrawal_amount
2023-05-26,ATM_1,Urban,Friday,0,376824
2023-05-27,ATM_1,Urban,Saturday,1,669994
2023-05-28,ATM_1,Urban,Sunday,1,753951
2023-05-29,ATM_1,Urban,Monday,0,376774
2023-05-30,ATM_1,Urban,Tuesday,0,371041
2023-05-31,ATM_1,Urban,Wednesday,0,485140
2023-06-01,ATM_1,Urban,Thursday,0,740762
2023-06-02,ATM_1,Urban,Friday,0,636248
2023-06-03,ATM_1,Urban,Saturday,1,801726
2023-06-04,ATM_1,Urban,Sunday,1,878194
2023-06-05,ATM_1,Urban,Monday,0,752579
2023-06-06,ATM_1,Urban,Tuesday,0,653787
2023-06-07,ATM_1,Urban,Wednesday,0,354487
2023-06-08,ATM_1,Urban,Thursday,0,518893
2023-06-09,ATM_1,Urban,Friday,0,483753
2023-06-10,ATM_1,Urban,Saturday,1,520755
2023-06-11,ATM_1,Urban,Sunday,1,498959
2023-06-12,ATM_1,Urban,Monday,0,425823
2023-06-13,ATM_1,Urban,Tuesday,0,387371
2023-06-14,ATM_1,Urban,Wednesday,0,361548
2023-06-15,ATM_1,Urban,Thursday,0,464396
2023-06-16,ATM_1,Urban,Friday,0,527880
2023-06-17,ATM_1,Urban,Saturday,1,512945
2023-06-18,ATM_1,Urban,Sunday,1,433116
2023-06-19,ATM_1,Urban,Monday,0,547759
2023-06-20,ATM_1,Urban,Tuesday,0,587866
2023-06-21,ATM_1,Urban,Wednesday,0,453388
2023-06-22,ATM_1,Urban,Thursday,0,506925
2023-06-23,ATM_1,Urban,Friday,0,495275
2023-06-24,ATM_1,Urban,Saturday,1,565116
2023-06-25,ATM_1,Urban,Sunday,1,579419
2023-06-26,ATM_1,Urban,Monday,0,559078
2023-06-27,ATM_1,Urban,Tuesday,0,565941
2023-06-28,ATM_1,Urban,Wednesday,0,468617
2023-06-29,ATM_1,Urban,Thursday,0,427410
2023-06-30,ATM_1,Urban,Friday,0,542274
2023-07-01,ATM_1,Urban,Saturday,1,653481
2023-07-02,ATM_1,Urban,Sunday,1,767627
2023-07-03,ATM_1,Urban,Monday,0,635169
2023-07-04,ATM_1,Urban,Tuesday,0,765434
2023-07-05,ATM_1,Urban,Wednesday,0,691600
2023-07-06,ATM_1,Urban,Thursday,0,603761
2023-07-07,ATM_1,Urban,Friday,0,629648
2023-07-08,ATM_1,Urban,Saturday,1,455886
2023-07-09,ATM_1,Urban,Sunday,1,570322
2023-07-10,ATM_1,Urban,Monday,0,430168
2023-07-11,ATM_1,Urban,Tuesday,0,532627
2023-07-12,ATM_1,Urban,Wednesday,0,542596
2023-07-13,ATM_1,Urban,Thursday,0,418252
2023-07-14,ATM_1,Urban,Friday,0,487205
2023-07-15,ATM_1,Urban,Saturday,1,463087
2023-07-16,ATM_1,Urban,Sunday,1,598685
2023-07-17,ATM_1,Urban,Monday,0,353758
2023-07-18,ATM_1,Urban,Tuesday,0,612745
2023-07-19,ATM_1,Urban,Wednesday,0,464359
2023-07-20,ATM_1,Urban,Thursday,0,408055
2023-07-21,ATM_1,Urban,Friday,0,496502
2023-07-22,ATM_1,Urban,Saturday,1,488247
2023-07-23,ATM_1,Urban,Sunday,1,650769
2023-07-24,ATM_1,Urban,Monday,0,438219
2023-07-25,ATM_1,Urban,Tuesday,0,543715
2023-07-26,ATM_1,Urban,Wednesday,0,429522
2023-07-27,ATM_1,Urban,Thursday,0,422235
2023-07-28,ATM_1,Urban,Friday,0,472485
2023-07-29,ATM_1,Urban,Saturday,1,548054
2023-07-30,ATM_1,Urban,Sunday,1,505051
2023-07-31,ATM_1,Urban,Monday,0,633535
2023-08-01,ATM_1,Urban,Tuesday,0,658252
2023-08-02,ATM_1,Urban,Wednesday,0,634958
2023-08-03,ATM_1,Urban,Thursday,0,507399
2023-08-04,ATM_1,Urban,Friday,0,701273
2023-08-05,ATM_1,Urban,Saturday,1,538988
2023-08-06,ATM_1,Urban,Sunday,1,557089
2023-08-07,ATM_1,Urban,Monday,0,526685
2023-08-08,ATM_1,Urban,Tuesday,0,588539
2023-08-09,ATM_1,Urban,Wednesday,0,643794
2023-08-10,ATM_1,Urban,Thursday,0,520719
2023-08-11,ATM_1,Urban,Friday,0,567711
2023-08-12,ATM_1,Urban,Saturday,1,636949
2023-08-13,ATM_1,Urban,Sunday,1,512257
2023-08-14,ATM_1,Urban,Monday,0,571796
2023-08-15,ATM_1,Urban,Tuesday,0,510923
2023-08-16,ATM_1,Urban,Wednesday,0,431305
2023-08-17,ATM_1,Urban,Thursday,0,460490
2023-08-18,ATM_1,Urban,Friday,0,616916
2023-08-19,ATM_1,Urban,Saturday,1,624663
2023-08-20,ATM_1,Urban,Sunday,1,489868
2023-08-21,ATM_1,Urban,Monday,0,485555
2023-08-22,ATM_1,Urban,Tuesday,0,463333
2023-08-23,ATM_1,Urban,Wednesday,0,459077
2023-08-24,ATM_1,Urban,Thursday,0,402334
2023-08-25,ATM_1,Urban,Friday,0,640107
2023-08-26,ATM_1,Urban,Saturday,1,646589
2023-08-27,ATM_1,Urban,Sunday,1,664849
2023-08-28,ATM_1,Urban,Monday,0,472881
2023-08-29,ATM_1,Urban,Tuesday,0,606701
2023-08-30,ATM_1,Urban,Wednesday,0,462112
2023-08-31,ATM_1,Urban,Thursday,0,576637
2023-09-01,ATM_1,Urban,Friday,0,630928
2023-09-02,ATM_1,Urban,Saturday,1,747380
2023-09-03,ATM_1,Urban,Sunday,1,736517
2023-09-04,ATM_1,Urban,Monday,0,704701
2023-09-05,ATM_1,Urban,Tuesday,0,527694
2023-09-06,ATM_1,Urban,Wednesday,0,473908
2023-09-07,ATM_1,Urban,Thursday,0,478567
2023-09-08,ATM_1,Urban,Friday,0,531032
2023-09-09,ATM_1,Urban,Saturday,1,506151
2023-09-10,ATM_1,Urban,Sunday,1,518386
2023-09-11,ATM_1,Urban,Monday,0,573910
2023-09-12,ATM_1,Urban,Tuesday,0,641895
2023-09-13,ATM_1,Urban,Wednesday,0,493087
2023-09-14,ATM_1,Urban,Thursday,0,506386
2023-09-15,ATM_1,Urban,Friday,0,548268
2023-09-16,ATM_1,Urban,Saturday,1,596947
2023-09-17,ATM_1,Urban,Sunday,1,586661
2023-09-18,ATM_1,Urban,Monday,0,546109
2023-09-19,ATM_1,Urban,Tuesday,0,490046
2023-09-20,ATM_1,Urban,Wednesday,0,498799
2023-09-21,ATM_1,Urban,Thursday,0,508439
2023-09-22,ATM_1,Urban,Friday,0,436758
2023-09-23,ATM_1,Urban,Saturday,1,464197
2023-09-24,ATM_1,Urban,Sunday,1,586144
2023-09-25,ATM_1,Urban,Monday,0,595276
2023-09-26,ATM_1,Urban,Tuesday,0,557459
2023-09-27,ATM_1,Urban,Wednesday,0,532799
2023-09-28,ATM_1,Urban,Thursday,0,626092
2023-09-29,ATM_1,Urban,Friday,0,461257
2023-09-30,ATM_1,Urban,Saturday,1,551791
2023-10-01,ATM_1,Urban,Sunday,1,779481
2023-10-02,ATM_1,Urban,Monday,0,734322
2023-10-03,ATM_1,Urban,Tuesday,0,782699
2023-10-04,ATM_1,Urban,Wednesday,0,806041
2023-10-05,ATM_1,Urban,Thursday,0,720018
2023-10-06,ATM_1,Urban,Friday,0,581673
2023-10-07,ATM_1,Urban,Saturday,1,656664
2023-10-08,ATM_1,Urban,Sunday,1,710230
2023-10-09,ATM_1,Urban,Monday,0,641795
2023-10-10,ATM_1,Urban,Tuesday,0,539016
2023-10-11,ATM_1,Urban,Wednesday,0,701975
2023-10-12,ATM_1,Urban,Thursday,0,607520
2023-10-13,ATM_1,Urban,Friday,0,508723
2023-10-14,ATM_1,Urban,Saturday,1,720353
2023-10-15,ATM_1,Urban,Sunday,1,626237
2023-10-16,ATM_1,Urban,Monday,0,715275
2023-10-17,ATM_1,Urban,Tuesday,0,497408
2023-10-18,ATM_1,Urban,Wednesday,0,504179
2023-10-19,ATM_1,Urban,Thursday,0,734018
2023-10-20,ATM_1,Urban,Friday,0,698294
2023-10-21,ATM_1,Urban,Saturday,1,587911
2023-10-22,ATM_1,Urban,Sunday,1,687484
2023-10-23,ATM_1,Urban,Monday,0,579247
2023-10-24,ATM_1,Urban,Tuesday,0,534887
2023-10-25,ATM_1,Urban,Wednesday,0,647041
2023-10-26,ATM_1,Urban,Thursday,0,658557
2023-10-27,ATM_1,Urban,Friday,0,436411
2023-10-28,ATM_1,Urban,Saturday,1,642863
2023-10-29,ATM_1,Urban,Sunday,1,508711
2023-10-30,ATM_1,Urban,Monday,0,471017
2023-10-31,ATM_1,Urban,Tuesday,0,693774
2023-11-01,ATM_1,Urban,Wednesday,0,749856
2023-11-02,ATM_1,Urban,Thursday,0,795079
2023-11-03,ATM_1,Urban,Friday,0,620228
2023-11-04,ATM_1,Urban,Saturday,1,857852
2023-11-05,ATM_1,Urban,Sunday,1,825953
2023-11-06,ATM_1,Urban,Monday,0,534961
2023-11-07,ATM_1,Urban,Tuesday,0,653978
2023-11-08,ATM_1,Urban,Wednesday,0,621854
2023-11-09,ATM_1,Urban,Thursday,0,470985
2023-11-10,ATM_1,Urban,Friday,0,626042
2023-11-11,ATM_1,Urban,Saturday,1,643809
2023-11-12,ATM_1,Urban,Sunday,1,722701
2023-11-13,ATM_1,Urban,Monday,0,454718
2023-11-14,ATM_1,Urban,Tuesday,0,687067
2023-11-15,ATM_1,Urban,Wednesday,0,584867
2023-11-16,ATM_1,Urban,Thursday,0,510120
2023-11-17,ATM_1,Urban,Friday,0,541706
2023-11-18,ATM_1,Urban,Saturday,1,631401
2023-11-19,ATM_1,Urban,Sunday,1,665423
2023-11-20,ATM_1,Urban,Monday,0,524453
2023-11-21,ATM_1,Urban,Tuesday,0,600269
2023-11-22,ATM_1,Urban,Wednesday,0,644571
2023-11-23,ATM_1,Urban,Thursday,0,652977
2023-11-24,ATM_1,Urban,Friday,0,635102
2023-11-25,ATM_1,Urban,Saturday,1,763335
2023-11-26,ATM_1,Urban,Sunday,1,801841
2023-11-27,ATM_1,Urban,Monday,0,574880
2023-11-28,ATM_1,Urban,Tuesday,0,717804
2023-11-29,ATM_1,Urban,Wednesday,0,532163
2023-11-30,ATM_1,Urban,Thursday,0,623287
2023-12-01,ATM_1,Urban,Friday,0,660955
2023-12-02,ATM_1,Urban,Saturday,1,914521
2023-12-03,ATM_1,Urban,Sunday,1,773003
2023-12-04,ATM_1,Urban,Monday,0,678035
2023-12-05,ATM_1,Urban,Tuesday,0,754878
2023-12-06,ATM_1,Urban,Wednesday,0,489202
2023-12-07,ATM_1,Urban,Thursday,0,536445
2023-12-08,ATM_1,Urban,Friday,0,422148
2023-12-09,ATM_1,Urban,Saturday,1,552768
2023-12-10,ATM_1,Urban,Sunday,1,559817
2023-12-11,ATM_1,Urban,Monday,0,559782
2023-12-12,ATM_1,Urban,Tuesday,0,536315
2023-12-13,ATM_1,Urban,Wednesday,0,396897
2023-12-14,ATM_1,Urban,Thursday,0,461564
2023-12-15,ATM_1,Urban,Friday,0,548104
2023-12-16,ATM_1,Urban,Saturday,1,515727
2023-12-17,ATM_1,Urban,Sunday,1,614253
2023-12-18,ATM_1,Urban,Monday,0,452469
2023-12-19,ATM_1,Urban,Tuesday,0,552665
2023-12-20,ATM_1,Urban,Wednesday,0,408089
2023-12-21,ATM_1,Urban,Thursday,0,541719
2023-12-22,ATM_1,Urban,Friday,0,616109
2023-12-23,ATM_1,Urban,Saturday,1,635839
2023-12-24,ATM_1,Urban,Sunday,1,619037
2023-12-25,ATM_1,Urban,Monday,0,554408
2023-12-26,ATM_1,Urban,Tuesday,0,620096
2023-12-27,ATM_1,Urban,Wednesday,0,454581
2023-12-28,ATM_1,Urban,Thursday,0,388939
2023-12-29,ATM_1,Urban,Friday,0,542886
2023-12-30,ATM_1,Urban,Saturday,1,577432
2023-12-31,ATM_1,Urban,Sunday,1,483275
2024-01-01,ATM_1,Urban,Monday,0,597119
2024-01-02,ATM_1,Urban,Tuesday,0,728330
2024-01-03,ATM_1,Urban,Wednesday,0,655202
2024-01-04,ATM_1,Urban,Thursday,0,720805
2024-01-05,ATM_1,Urban,Friday,0,607030
2024-01-06,ATM_1,Urban,Saturday,1,720153
2024-01-07,ATM_1,Urban,Sunday,1,533758
2024-01-08,ATM_1,Urban,Monday,0,500867
2024-01-09,ATM_1,Urban,Tuesday,0,510904
2024-01-10,ATM_1,Urban,Wednesday,0,460102
2024-01-11,ATM_1,Urban,Thursday,0,512446
2024-01-12,ATM_1,Urban,Friday,0,469204
2024-01-13,ATM_1,Urban,Saturday,1,526857
2024-01-14,ATM_1,Urban,Sunday,1,532645
2024-01-15,ATM_1,Urban,Monday,0,606013
2024-01-16,ATM_1,Urban,Tuesday,0,559546
2024-01-17,ATM_1,Urban,Wednesday,0,567432
2024-01-18,ATM_1,Urban,Thursday,0,674131
2024-01-19,ATM_1,Urban,Friday,0,324006
2024-01-20,ATM_1,Urban,Saturday,1,635077
2024-01-21,ATM_1,Urban,Sunday,1,509647
2024-01-22,ATM_1,Urban,Monday,0,564685
2024-01-23,ATM_1,Urban,Tuesday,0,482850
2024-01-24,ATM_1,Urban,Wednesday,0,538929
2024-01-25,ATM_1,Urban,Thursday,0,553117
2024-01-26,ATM_1,Urban,Friday,0,503063
2024-01-27,ATM_1,Urban,Saturday,1,528611
2024-01-28,ATM_1,Urban,Sunday,1,758515
2024-01-29,ATM_1,Urban,Monday,0,510743
2024-01-30,ATM_1,Urban,Tuesday,0,521629
2024-01-31,ATM_1,Urban,Wednesday,0,511617
2024-02-01,ATM_1,Urban,Thursday,0,593943
2024-02-02,ATM_1,Urban,Friday,0,641123
2024-02-03,ATM_1,Urban,Saturday,1,725239
2024-02-04,ATM_1,Urban,Sunday,1,773333
2024-02-05,ATM_1,Urban,Monday,0,688520
2024-02-06,ATM_1,Urban,Tuesday,0,589691
2024-02-07,ATM_1,Urban,Wednesday,0,484030
2024-02-08,ATM_1,Urban,Thursday,0,509174
2024-02-09,ATM_1,Urban,Friday,0,607809
2024-02-10,ATM_1,Urban,Saturday,1,659857
2024-02-11,ATM_1,Urban,Sunday,1,535702
2024-02-12,ATM_1,Urban,Monday,0,592362
2024-02-13,ATM_1,Urban,Tuesday,0,373211
2024-02-14,ATM_1,Urban,Wednesday,0,459909
2024-02-15,ATM_1,Urban,Thursday,0,421240
2024-02-16,ATM_1,Urban,Friday,0,429170
2024-02-17,ATM_1,Urban,Saturday,1,551593
2024-02-18,ATM_1,Urban,Sunday,1,468953
2024-02-19,ATM_1,Urban,Monday,0,549614
2024-02-20,ATM_1,Urban,Tuesday,0,481960
2024-02-21,ATM_1,Urban,Wednesday,0,594145
2024-02-22,ATM_1,Urban,Thursday,0,548110
2024-02-23,ATM_1,Urban,Friday,0,615124
2024-02-24,ATM_1,Urban,Saturday,1,650686
2024-02-25,ATM_1,Urban,Sunday,1,591666
2024-02-26,ATM_1,Urban,Monday,0,488283
2024-02-27,ATM_1,Urban,Tuesday,0,510318
2024-02-28,ATM_1,Urban,Wednesday,0,434338
2024-02-29,ATM_1,Urban,Thursday,0,392242
2024-03-01,ATM_1,Urban,Friday,0,665910
2024-03-02,ATM_1,Urban,Saturday,1,653377
2024-03-03,ATM_1,Urban,Sunday,1,839650
2024-03-04,ATM_1,Urban,Monday,0,644333
2024-03-05,ATM_1,Urban,Tuesday,0,678125
2024-03-06,ATM_1,Urban,Wednesday,0,434995
2024-03-07,ATM_1,Urban,Thursday,0,521688
2024-03-08,ATM_1,Urban,Friday,0,609500
2024-03-09,ATM_1,Urban,Saturday,1,474530
2024-03-10,ATM_1,Urban,Sunday,1,598373
2024-03-11,ATM_1,Urban,Monday,0,547266
2024-03-12,ATM_1,Urban,Tuesday,0,470548
2024-03-13,ATM_1,Urban,Wednesday,0,563452
2024-03-14,ATM_1,Urban,Thursday,0,565958
2024-03-15,ATM_1,Urban,Friday,0,497537
2024-03-16,ATM_1,Urban,Saturday,1,663228
2024-03-17,ATM_1,Urban,Sunday,1,566282
2024-03-18,ATM_1,Urban,Monday,0,523867
2024-03-19,ATM_1,Urban,Tuesday,0,592637
2024-03-20,ATM_1,Urban,Wednesday,0,469294
2024-03-21,ATM_1,Urban,Thursday,0,553883
2024-03-22,ATM_1,Urban,Friday,0,613379
2024-03-23,ATM_1,Urban,Saturday,1,738805
2024-03-24,ATM_1,Urban,Sunday,1,602624
2024-03-25,ATM_1,Urban,Monday,0,600719
2024-03-26,ATM_1,Urban,Tuesday,0,624266
2024-03-27,ATM_1,Urban,Wednesday,0,552796
2024-03-28,ATM_1,Urban,Thursday,0,430920
2024-03-29,ATM_1,Urban,Friday,0,461542
2024-03-30,ATM_1,Urban,Saturday,1,523401
2024-03-31,ATM_1,Urban,Sunday,1,573089
2024-04-01,ATM_1,Urban,Monday,0,680986
2024-04-02,ATM_1,Urban,Tuesday,0,606137
2024-04-03,ATM_1,Urban,Wednesday,0,696201
2024-04-04,ATM_1,Urban,Thursday,0,659505
2024-04-05,ATM_1,Urban,Friday,0,639600
2024-04-06,ATM_1,Urban,Saturday,1,542079
2024-04-07,ATM_1,Urban,Sunday,1,582357
2024-04-08,ATM_1,Urban,Monday,0,599973
2024-04-09,ATM_1,Urban,Tuesday,0,465381
2024-04-10,ATM_1,Urban,Wednesday,0,508116
2024-04-11,ATM_1,Urban,Thursday,0,582756
2024-04-12,ATM_1,Urban,Friday,0,401810
2024-04-13,ATM_1,Urban,Saturday,1,540097
2024-04-14,ATM_1,Urban,Sunday,1,638217
2024-04-15,ATM_1,Urban,Monday,0,570391
2024-04-16,ATM_1,Urban,Tuesday,0,529757
2024-04-17,ATM_1,Urban,Wednesday,0,554449
2024-04-18,ATM_1,Urban,Thursday,0,580291
2024-04-19,ATM_1,Urban,Friday,0,568231
2024-04-20,ATM_1,Urban,Saturday,1,716373
2024-04-21,ATM_1,Urban,Sunday,1,601070
2024-04-22,ATM_1,Urban,Monday,0,428766
2024-04-23,ATM_1,Urban,Tuesday,0,595214
2024-04-24,ATM_1,Urban,Wednesday,0,474458
2024-04-25,ATM_1,Urban,Thursday,0,484189
2024-04-26,ATM_1,Urban,Friday,0,468089
2024-04-27,ATM_1,Urban,Saturday,1,623720
2024-04-28,ATM_1,Urban,Sunday,1,588445
2024-04-29,ATM_1,Urban,Monday,0,508423
2024-04-30,ATM_1,Urban,Tuesday,0,538168
2024-05-01,ATM_1,Urban,Wednesday,0,651739
2024-05-02,ATM_1,Urban,Thursday,0,664676
2024-05-03,ATM_1,Urban,Friday,0,575522
2024-05-04,ATM_1,Urban,Saturday,1,618689
2024-05-05,ATM_1,Urban,Sunday,1,733843
2024-05-06,ATM_1,Urban,Monday,0,516423
2024-05-07,ATM_1,Urban,Tuesday,0,503423
2024-05-08,ATM_1,Urban,Wednesday,0,439736
2024-05-09,ATM_1,Urban,Thursday,0,445792
2024-05-10,ATM_1,Urban,Friday,0,513019
2024-05-11,ATM_1,Urban,Saturday,1,519353
2024-05-12,ATM_1,Urban,Sunday,1,592903
2024-05-13,ATM_1,Urban,Monday,0,519992
2024-05-14,ATM_1,Urban,Tuesday,0,426610
2024-05-15,ATM_1,Urban,Wednesday,0,571121
2024-05-16,ATM_1,Urban,Thursday,0,474397
2024-05-17,ATM_1,Urban,Friday,0,597306
2024-05-18,ATM_1,Urban,Saturday,1,626272
2024-05-19,ATM_1,Urban,Sunday,1,663654
2024-05-20,ATM_1,Urban,Monday,0,451287
2024-05-21,ATM_1,Urban,Tuesday,0,478938
2024-05-22,ATM_1,Urban,Wednesday,0,555706
2024-05-23,ATM_1,Urban,Thursday,0,523381
2024-05-24,ATM_1,Urban,Friday,0,500709
2024-05-25,ATM_1,Urban,Saturday,1,509589
2024-05-26,ATM_1,Urban,Sunday,1,594168
2024-05-27,ATM_1,Urban,Monday,0,442541
2024-05-28,ATM_1,Urban,Tuesday,0,453979
2024-05-29,ATM_1,Urban,Wednesday,0,669851
2024-05-30,ATM_1,Urban,Thursday,0,355306
